solver,entrie,metric,path,cost,time,space
twice-around-the-tree,2^4,euclidean,"[0, 4, 7, 9, 6, 14, 8, 10, 1, 15, 5, 12, 3, 2, 11, 13, 0]",1076,0.4683739971369505,space
twice-around-the-tree,2^4,manhattan,"[0, 4, 7, 9, 6, 10, 3, 2, 11, 13, 15, 1, 5, 12, 14, 8, 0]",1558,0.5576110015681479,space
christofides,2^4,euclidean,"[0, 4, 7, 9, 6, 14, 8, 13, 11, 2, 3, 15, 1, 10, 5, 12, 0]",1082,1.5536640021309722,space
christofides,2^4,manhattan,"[0, 4, 7, 9, 6, 10, 3, 2, 11, 13, 8, 14, 15, 1, 5, 12, 0]",1414,1.6494149967911653,space
twice-around-the-tree,2^6,euclidean,"[0, 5, 45, 62, 8, 30, 27, 37, 60, 11, 31, 14, 1, 52, 20, 34, 50, 61, 24, 25, 26, 63, 40, 33, 21, 7, 29, 36, 18, 22, 2, 43, 12, 32, 10, 41, 16, 49, 44, 28, 39, 47, 46, 17, 57, 4, 42, 15, 23, 55, 19, 38, 53, 9, 56, 58, 6, 35, 13, 51, 48, 59, 54, 3, 0]",2245,3.8606759990216233,space
christofides,2^6,euclidean,"[0, 5, 45, 62, 8, 1, 52, 20, 34, 50, 26, 63, 18, 22, 2, 43, 12, 32, 10, 41, 44, 49, 16, 28, 15, 42, 4, 57, 17, 46, 47, 39, 23, 55, 19, 38, 53, 9, 36, 29, 7, 21, 33, 40, 25, 24, 61, 14, 11, 31, 60, 37, 27, 30, 56, 58, 6, 35, 3, 54, 59, 48, 13, 51, 0]",2132,25.637599999754457,space
